student_id,course_id,term,grade
26,C006,Fall,A
5,C003,Spring,B
16,C009,Fall,B
23,C001,Fall,C
26,C007,Fall,C+
16,C008,Fall,C+
6,C003,Fall,A-
28,C006,Fall,F
14,C002,Fall,B+
28,C010,Spring,B
17,C002,Fall,B+
29,C002,Spring,F
9,C008,Spring,D
3,C010,Fall,A-
23,C006,Spring,A-
1,C008,Spring,C+
8,C010,Spring,D
17,C004,Fall,A-
18,C006,Fall,C+
16,C002,Fall,B+
26,C005,Spring,A
9,C009,Spring,C
16,C002,Spring,B
23,C003,Spring,A-
28,C010,Fall,A-
13,C005,Spring,B
17,C002,Spring,B+
1,C003,Spring,B
15,C008,Fall,B+
1,C002,Spring,A
1,C003,Fall,C+
19,C001,Fall,C+
22,C001,Spring,C+
28,C008,Spring,B+
3,C007,Spring,F
23,C003,Fall,A-
27,C009,Fall,D
13,C004,Fall,D
4,C010,Fall,B
10,C002,Fall,A
5,C010,Spring,C
11,C007,Fall,A-
14,C008,Fall,B
1,C006,Spring,C+
30,C001,Fall,B
22,C004,Fall,B
3,C006,Fall,A
5,C008,Spring,C
20,C009,Spring,C
15,C005,Fall,C
26,C007,Spring,A-
27,C008,Fall,A-
10,C006,Fall,B
1,C007,Fall,F
10,C008,Spring,D
23,C006,Fall,D
25,C010,Spring,F
11,C005,Spring,A
9,C007,Spring,D
14,C004,Spring,C+
